iteration,mode,violations,wire_length_um,via_count,cpu_time,elapsed_time,memory_mb,peak_mb,start_line,violation_line,wire_length_line,via_line,runtime_line
0,optimization,2282092,149163760,27801675,55:14:55,04:15:28,80462.16,81086.14,1416,1437,1446,1453,1445
1,optimization,1240531,148154268,27538233,51:47:29,04:01:46,74732.82,81397.44,1467,1488,1497,1504,1496
2,optimization,1153053,147903845,27444263,49:28:23,03:52:57,73726.41,81397.44,1518,1539,1548,1555,1547
3,optimization,175294,147960830,28009774,45:55:50,03:37:54,72897.67,81397.44,1569,1590,1599,1606,1598
4,optimization,14051,147958209,28031826,09:23:35,00:53:22,72981.07,81397.44,1620,1641,1649,1656,1648
5,optimization,2025,147956658,28032314,01:26:18,00:12:20,72021.7,81397.44,1670,1691,1698,1705,1697
6,optimization,653,147956762,28032550,00:19:50,00:05:57,71127.63,81397.44,1719,1740,1746,1753,1745
7,optimization,305,147956699,28032637,00:07:11,00:03:16,71127.63,81397.44,1767,1788,1794,1801,1793
8,optimization,156,147956745,28032618,00:03:43,00:01:58,71127.63,81397.44,1815,1836,1842,1849,1841
9,optimization,107,147956796,28032649,00:02:53,00:01:43,71127.63,81397.44,1863,1884,1889,1896,1888
10,optimization,46,147956956,28032698,00:01:33,00:00:51,71127.63,81397.44,1910,1931,1937,1944,1936
11,guides tiles,23,147956954,28032700,00:00:16,00:00:10,71127.63,81397.44,1958,1979,1984,1991,1983
12,guides tiles,18,147956969,28032710,00:00:06,00:00:02,71127.63,81397.44,2005,2026,2031,2038,2030
13,guides tiles,17,147956967,28032711,00:00:06,00:00:02,71127.63,81397.44,2052,2073,2078,2085,2077
14,guides tiles,17,147956972,28032711,00:00:05,00:00:02,71127.63,81397.44,2099,2120,2125,2132,2124
15,guides tiles,15,147956983,28032724,00:00:05,00:00:02,71127.63,81397.44,2146,2167,2172,2179,2171
16,guides tiles,15,147956985,28032724,00:00:05,00:00:02,71127.63,81397.44,2193,2214,2219,2226,2218
17,optimization,17,147956915,28032680,00:02:04,00:01:39,71127.63,81397.44,2240,2261,2266,2273,2265
18,guides tiles,8,147956914,28032681,00:00:04,00:00:01,71127.63,81397.44,2287,2308,2313,2320,2312
19,guides tiles,8,147956916,28032681,00:00:02,00:00:01,71127.63,81397.44,2334,2355,2360,2367,2359
20,guides tiles,4,147956960,28032712,00:00:02,00:00:01,71127.63,81397.44,2381,2402,2407,2414,2406
21,guides tiles,4,147956959,28032712,00:00:01,00:00:01,71127.63,81397.44,2428,2439,2444,2451,2443
22,stubborn tiles,0,147956981,28032721,00:12:11,00:00:58,71127.69,81397.44,2465,2486,2488,2495,2487
