profile_id,module_path,invocation_index,shape,dtype,epsilon,elementwise_affine,input_sha256,output_sha256,input_stats,output_stats
action_vlln,action_head.vlln,0,"[1, 280, 2048]",bfloat16,1e-05,True,fed1a9111ab1b995d05838cc5d2d2767d87b8cf6d6e46a51ec025ab0ec93ac88,d14a46c68a37984b690fe05b2732c45636014d61f83fc302912492d56866effc,"{""inf_count"": 0, ""max"": 4.53125, ""mean"": -0.0016521138604730368, ""min"": -5.0625, ""nan_count"": 0, ""std"": 0.9998874068260193, ""zero_count"": 0}","{""inf_count"": 0, ""max"": 4.90625, ""mean"": 0.0009271858143620193, ""min"": -4.8125, ""nan_count"": 0, ""std"": 1.0305078029632568, ""zero_count"": 0}"
action_vl_self_attention_norm1,action_head.vl_self_attention.transformer_blocks.0.norm1,0,"[1, 280, 2048]",bfloat16,1e-05,True,d14a46c68a37984b690fe05b2732c45636014d61f83fc302912492d56866effc,a47cbfe760048e21b9586caccea2fada7f945733fc00d8542fdd2a61bba39ca5,"{""inf_count"": 0, ""max"": 4.90625, ""mean"": 0.0009271858143620193, ""min"": -4.8125, ""nan_count"": 0, ""std"": 1.0305078029632568, ""zero_count"": 0}","{""inf_count"": 0, ""max"": 4.65625, ""mean"": 0.012903250753879547, ""min"": -4.625, ""nan_count"": 0, ""std"": 0.9568254947662354, ""zero_count"": 0}"
action_vl_self_attention_norm3,action_head.vl_self_attention.transformer_blocks.0.norm3,0,"[1, 280, 2048]",bfloat16,1e-05,True,648a77ebef0a1bc6b7aa71b6724e7427e082bc818b5fe65f6de842049ee8f9a2,f5145c0df5b530605758a6b8285fd23ec9be014d5142fb2c6c8575b7beeb3afd,"{""inf_count"": 0, ""max"": 4.9375, ""mean"": -0.002322186715900898, ""min"": -8.5, ""nan_count"": 0, ""std"": 1.0442683696746826, ""zero_count"": 58}","{""inf_count"": 0, ""max"": 5.03125, ""mean"": -0.0001938256755238399, ""min"": -5.0, ""nan_count"": 0, ""std"": 1.0297869443893433, ""zero_count"": 0}"
action_vl_self_attention_norm1,action_head.vl_self_attention.transformer_blocks.1.norm1,1,"[1, 280, 2048]",bfloat16,1e-05,True,a74b16df52e59a71aa43671b32c5531f3bab094cf9435aebc9fdffe1590c7c32,cbce53b502e2ea95fa90270276a77932de6f46c66d6d69128f813b3aeaeca6dc,"{""inf_count"": 0, ""max"": 57.0, ""mean"": 0.012165484949946404, ""min"": -17.0, ""nan_count"": 0, ""std"": 1.5854300260543823, ""zero_count"": 428}","{""inf_count"": 0, ""max"": 17.625, ""mean"": -0.002648488152772188, ""min"": -7.25, ""nan_count"": 0, ""std"": 0.9072723984718323, ""zero_count"": 0}"
action_vl_self_attention_norm3,action_head.vl_self_attention.transformer_blocks.1.norm3,1,"[1, 280, 2048]",bfloat16,1e-05,True,21fe0fdcd3f4772873665a176c0dead37684a1082e7285a9fef7027e83720a67,a9a10fec17e789386313abc2029ba9988997e7539031948d0bf206789616e80b,"{""inf_count"": 0, ""max"": 56.5, ""mean"": 0.012188032269477844, ""min"": -17.125, ""nan_count"": 0, ""std"": 1.5817055702209473, ""zero_count"": 91}","{""inf_count"": 0, ""max"": 16.75, ""mean"": -0.00534079922363162, ""min"": -6.90625, ""nan_count"": 0, ""std"": 1.0026791095733643, ""zero_count"": 0}"
action_vl_self_attention_norm1,action_head.vl_self_attention.transformer_blocks.2.norm1,2,"[1, 280, 2048]",bfloat16,1e-05,True,f72ce179f93af857d990e2161d0bf9c339f2e1de765deb3d3736bcd0f83c6bbc,5c00c5deda7197f72904e1f6658ed5a9416ec3aaa04f6255fecbdfd9934b8a36,"{""inf_count"": 0, ""max"": 46.5, ""mean"": 0.009586190804839134, ""min"": -13.125, ""nan_count"": 0, ""std"": 1.6458112001419067, ""zero_count"": 345}","{""inf_count"": 0, ""max"": 15.875, ""mean"": -0.00266671902500093, ""min"": -5.3125, ""nan_count"": 0, ""std"": 0.9460119605064392, ""zero_count"": 0}"
action_vl_self_attention_norm3,action_head.vl_self_attention.transformer_blocks.2.norm3,2,"[1, 280, 2048]",bfloat16,1e-05,True,aa898fae0577eadab183239b7c19f1aee81f09bbc5948d0a017c9a3829fa008e,169f124660a05fde6fe520f80d47d7ee801af3cc2b809e40cf9f4fbc9e11b8e7,"{""inf_count"": 0, ""max"": 46.5, ""mean"": 0.012768736109137535, ""min"": -12.9375, ""nan_count"": 0, ""std"": 1.6482603549957275, ""zero_count"": 97}","{""inf_count"": 0, ""max"": 17.125, ""mean"": -0.003370234277099371, ""min"": -5.875, ""nan_count"": 0, ""std"": 1.067794919013977, ""zero_count"": 0}"
action_vl_self_attention_norm1,action_head.vl_self_attention.transformer_blocks.3.norm1,3,"[1, 280, 2048]",bfloat16,1e-05,True,d60427e5459b3b0ad48f4eded4ea7dbe1d604fa0368eee4a6eaaeeca31cc5e89,1420939b10198c1d03eb722bdfb9cd0245b0a448cc7f97114768b1985cf7cc0e,"{""inf_count"": 0, ""max"": 44.5, ""mean"": 0.012960008345544338, ""min"": -12.9375, ""nan_count"": 0, ""std"": 1.6310758590698242, ""zero_count"": 222}","{""inf_count"": 0, ""max"": 17.375, ""mean"": -0.0023113563656806946, ""min"": -5.125, ""nan_count"": 0, ""std"": 0.9893940091133118, ""zero_count"": 0}"
action_vl_self_attention_norm3,action_head.vl_self_attention.transformer_blocks.3.norm3,3,"[1, 280, 2048]",bfloat16,1e-05,True,ce76a1a9c76fae7c16a0211c06255a36b6132c98261ef0623d07ad4f9359ec1c,9e629b745a47edf6398ad2b7cd614aa9ba30f984445d6572f1379b539ad93631,"{""inf_count"": 0, ""max"": 43.0, ""mean"": 0.015043716877698898, ""min"": -14.5, ""nan_count"": 0, ""std"": 1.6216319799423218, ""zero_count"": 81}","{""inf_count"": 0, ""max"": 18.5, ""mean"": -0.002901266561821103, ""min"": -6.3125, ""nan_count"": 0, ""std"": 1.1353857517242432, ""zero_count"": 0}"
action_dit_adaln_norm1,action_head.model.transformer_blocks.0.norm1.norm,0,"[1, 41, 1536]",bfloat16,1e-05,False,a15b94232d5eb6a3bbcd2c135ffaa2914a8824f08bc023f80add56204ea728a6,bc5b10a5a8ac81585274d21809c9496540d8f7a84cc87a674e50393d477e75c2,"{""inf_count"": 0, ""max"": 3.15625, ""mean"": 0.00222240318544209, ""min"": -3.40625, ""nan_count"": 0, ""std"": 0.3414841890335083, ""zero_count"": 52}","{""inf_count"": 0, ""max"": 4.09375, ""mean"": -5.527906978386454e-06, ""min"": -4.28125, ""nan_count"": 0, ""std"": 0.999946653842926, ""zero_count"": 0}"
